ObjectName,FieldName,Metadata
SVMXC__Service_Order__c,Id,Id Record ID 
SVMXC__Service_Order__c,OwnerId,OwnerId Owner ID 
SVMXC__Service_Order__c,IsDeleted,IsDeleted Deleted 
SVMXC__Service_Order__c,Name,Name Work Order Number 
SVMXC__Service_Order__c,CreatedDate,CreatedDate Created Date 
SVMXC__Service_Order__c,CreatedById,CreatedById Created By ID 
SVMXC__Service_Order__c,LastModifiedDate,LastModifiedDate Last Modified Date 
SVMXC__Service_Order__c,LastModifiedById,LastModifiedById Last Modified By ID 
SVMXC__Service_Order__c,SystemModstamp,SystemModstamp System Modstamp 
SVMXC__Service_Order__c,LastActivityDate,LastActivityDate Last Activity Date 
SVMXC__Service_Order__c,LastViewedDate,LastViewedDate Last Viewed Date 
SVMXC__Service_Order__c,LastReferencedDate,LastReferencedDate Last Referenced Date 
SVMXC__Service_Order__c,SVMXC__Acknowledged_By_Technician_Date_Time__c,Acknowledged By Technician Date Time Acknowledged By Technician Date Time Date and time when technician acknowledges the scheduled work order
SVMXC__Service_Order__c,SVMXC__Actual_Initial_Response__c,Actual Initial Response Actual Initial Response Date/time on which customer was initial responsed as per commitment in SLA.
SVMXC__Service_Order__c,SVMXC__Actual_Onsite_Response__c,Actual Onsite Response Actual Onsite Response Date/time on which customer was onsite responsed as per commitment in SLA.
SVMXC__Service_Order__c,SVMXC__Actual_Resolution__c,Actual Resolution Actual Resolution Date/time on which customer was resolved as per commitment in SLA.
SVMXC__Service_Order__c,SVMXC__Actual_Restoration__c,Actual Restoration Actual Restoration Date/time on which customer was restored as per commitment in SLA.
SVMXC__Service_Order__c,SVMXC__Age_Bucket__c,Age Bucket Please change this Age of the service order grouped in buckets for reporting purposes.
SVMXC__Service_Order__c,SVMXC__Age__c,Age Age Age of the service order for reporting purposes.
SVMXC__Service_Order__c,SVMXC__Apply_Business_Hours_For_OptiMax__c,Apply Business Hours For OptiMax Apply Business Hours For OptiMax Flag to indicate if Preferred Window for Work Order is based on SLA/Access Hours
SVMXC__Service_Order__c,SVMXC__Appointment_Promised_Time_Slot__c,Appointment Promised Time Slot Promised Arrival Window (GMT) 
SVMXC__Service_Order__c,SVMXC__Auto_Entitlement_Status__c,Auto Entitlement Status Auto Entitlement Status 
SVMXC__Service_Order__c,SVMXC__BatchUpdate__c,BatchUpdate Batch Update This is an internal field used to resolve conflicts between immediate work order updates and batch updates done by OptiMax.
SVMXC__Service_Order__c,SVMXC__Billing_Type__c,"Billing Type Billing Type How the service order expenses will be accounted for. Agreement, Paid etc."
SVMXC__Service_Order__c,SVMXC__Booked_Appointment_Slot__c,Booked Appointment Slot Booked Appointment Slot 
SVMXC__Service_Order__c,SVMXC__Canceled_Date_Time__c,Canceled Date Time Canceled Date Time Date and time when technician rejects or cancels or dispatcher cancels the work order
SVMXC__Service_Order__c,SVMXC__Case__c,Case Case Support Case from which this service order originated. Is a lookup to an existing salesforce case record
SVMXC__Service_Order__c,SVMXC__City__c,City City “City” part of the work order location.
SVMXC__Service_Order__c,SVMXC__Clock_Paused_Forever__c,Clock Paused Forever Clock Paused Forever 
SVMXC__Service_Order__c,SVMXC__Closed_By__c,Closed By Closed By User that closed this service order. Is a lookup to an existing salesforce user.
SVMXC__Service_Order__c,SVMXC__Closed_On__c,Closed On Closed On Date/time when this service order was closed.
SVMXC__Service_Order__c,SVMXC__Company__c,Company Account Customer Company initiating this service order. Is a lookup to an existing salesforce account record
SVMXC__Service_Order__c,SVMXC__Completed_Date_Time__c,Completed Date Time Completed Date Time Date and time when technician completes (closes) the work order
SVMXC__Service_Order__c,SVMXC__Component__c,Component Component Serial number of the component for which the customer is seeking support. Is a lookup to an existing installed product record in ServiceMax
SVMXC__Service_Order__c,SVMXC__Configuration_After__c,Configuration After Configuration - After Snapshot of the product’s technical details after the engineer(s) resolved/addressed the issue
SVMXC__Service_Order__c,SVMXC__Configuration_Before__c,Configuration Before Configuration - Before Snapshot of the product’s technical details before the engineer(s) started addressing it
SVMXC__Service_Order__c,SVMXC__Contact__c,Contact Contact Name of the contact person from the customer account for this service order. Is a lookup to an existing salesforce contact record
SVMXC__Service_Order__c,SVMXC__Corrective_Action__c,Corrective Action Corrective Action Any corrective action taken by your engineer(s) to address the customer feedback
SVMXC__Service_Order__c,SVMXC__Country__c,Country Country “Country” part of the work order location
SVMXC__Service_Order__c,SVMXC__Customer_Down_Status__c,Customer Down Status Customer Down Status Indicates as Yes or No if this work order is about a customer down situation.
SVMXC__Service_Order__c,SVMXC__Customer_Down__c,Customer Down Customer Down If the customer situation is critical affecting uptime due to the problem reported
SVMXC__Service_Order__c,SVMXC__Customer_Failure_Feedback__c,Customer Failure Feedback Customer Failure Feedback Feedback given by the customer about the overall failure event and how your organization responded
SVMXC__Service_Order__c,SVMXC__Dispatch_Now__c,Dispatch Now Dispatch Now 
SVMXC__Service_Order__c,SVMXC__Dispatch_Priority__c,Dispatch Priority Dispatch Priority 
SVMXC__Service_Order__c,SVMXC__Dispatch_Process__c,Dispatch Process Dispatch Process 
SVMXC__Service_Order__c,SVMXC__Dispatch_Response__c,Dispatch Response Dispatch Response To capture the response of the technician whether he/she accepts or rejects the work order assigned.
SVMXC__Service_Order__c,SVMXC__Dispatch_Status__c,Dispatch Status Dispatch Status Indicates in which stage the work order is in.
SVMXC__Service_Order__c,SVMXC__Drip__c,Drip Drip Flag to indicate whether the Work Order is ready to be delivered to mobile application
SVMXC__Service_Order__c,SVMXC__Driving_Time__c,Driving Time Driving Time (in Minutes) 
SVMXC__Service_Order__c,SVMXC__EndpointURL__c,EndpointURL EndpointURL 
SVMXC__Service_Order__c,SVMXC__Entitlement_Notes__c,Entitlement Notes Entitlement Notes 
SVMXC__Service_Order__c,SVMXC__Entitlement_Type__c,Entitlement Type Entitlement Type 
SVMXC__Service_Order__c,SVMXC__Failed_Assembly__c,Failed Assembly Failed Assembly The assembly of your product that failed.
SVMXC__Service_Order__c,SVMXC__Failure_Location__c,"Failure Location Failure Location Where the product failed, field or depot"
SVMXC__Service_Order__c,SVMXC__Finished_Onsite_Date_Time__c,Finished Onsite Date Time Finished Onsite Date Time Date and time when technician finishes working on the work order at site
SVMXC__Service_Order__c,SVMXC__FirstScheduledDateTime__c,FirstScheduledDateTime First Scheduled DateTime Datetimestamp the work order was scheduled to a technician for the very first time.
SVMXC__Service_Order__c,SVMXC__First_Assigned_DateTime__c,First Assigned DateTime First Assigned DateTime Datetimestamp the work order was assigned to a technician for the very first time.
SVMXC__Service_Order__c,SVMXC__First_Queued_DateTime__c,First Queued DateTime First Queued DateTime Datetimestamp the work order was queued to a technician for the very first time.
SVMXC__Service_Order__c,SVMXC__Group_Email__c,Group Email Group Email Stores the email address associated with the service team. Sends email using workflow rule indicating an work order has been queued to the service team.
SVMXC__Service_Order__c,SVMXC__Group_Member__c,Group Member Technician Name of the group member working on the service order. This does not imply that this member has the ownership of service order record
SVMXC__Service_Order__c,SVMXC__How_Fixed__c,How Fixed How Fixed Type of fix that was applied to resolve the problem.
SVMXC__Service_Order__c,SVMXC__Idle_Time__c,Idle Time Idle Time (in Minutes) Idle Time (in Minutes)
SVMXC__Service_Order__c,SVMXC__Initial_Response_Customer_By__c,Initial Response Customer By Initial Response Customer By 
SVMXC__Service_Order__c,SVMXC__Initial_Response_Internal_By__c,Initial Response Internal By Initial Response Internal By Date/time by which customer should be initial responsed as per internal commitment in SLA.
SVMXC__Service_Order__c,SVMXC__Invoice_Created__c,Invoice Created Invoice Created 
SVMXC__Service_Order__c,SVMXC__Invoice_Number__c,Invoice Number Invoice Number 
SVMXC__Service_Order__c,SVMXC__IsPartnerRecord__c,IsPartnerRecord IsPartnerRecord Flag indicates that this work order is for/by a Partner.
SVMXC__Service_Order__c,SVMXC__IsPartner__c,IsPartner Is Partner Flag is the indication of Partner Record.
SVMXC__Service_Order__c,SVMXC__Is_Entitlement_Performed__c,Is Entitlement Performed Is Entitlement Performed 
SVMXC__Service_Order__c,SVMXC__Is_Exported__c,Is Exported Is Exported 
SVMXC__Service_Order__c,SVMXC__Is_PM_Work_Order__c,Is PM Work Order Is PM Work Order 
